appid,wikidata_name,esrb_rating,hltb_id,igdb_id,metacritic_id,opencritic_id,game_engine
1806630,Usagi Health Club,,,usagi-health-club,,,
1820700,Praecantor Lila ~ Bell Spell,,,praecantor-lila-bell-spell,,,
1821740,One More Encounter,,,,,,
1916270,Deliverance,,,deliverance,,,
1238040,Dragon Age II,Mature 17+,,dragon-age-ii,,,Lycium engine
967460,Red Eclipse,,,red-eclipse,,,Sauerbraten Game Engine
960730,Memories Off: Sorekara,,,memories-off-sorekara,,,
960170,DJMax Respect,Teen,,djmax-respect-v,,5443,Q63966
1238680,Amairo Chocolate,,,amairo-chocolate,,,
1067540,Röki,Everyone 10+,,roki,,9848,Q63966
1097790,The Dark Crystal: Age of Resistance Tactics,Everyone 10+,,the-dark-crystal-age-of-resistance-tactics,,8781,
1186030,Death Park,Teen,,death-park,,12071,
1029890,Layers of Fear 2,Mature 17+,,layers-of-fear-2,,7757,Q63966
1348661,Hearts of Iron IV: No Step Back,,,hearts-of-iron-iv-no-step-back,,,
1160020,AshenForest,,,ashenforest,,,
1118880,Rituals in the Dark,,,rituals-in-the-dark,,,
1269990,Wishy Washy,,,wishy-washy,,,
1056761,Euro Truck Simulator 2: Actros Tuning Pack,,,euro-truck-simulator-2-actros-tuning-pack,,,
1165430,1001 Jigsaw: Myths of Ancient Greece,,,1001-jigsaw-myths-of-ancient-greece,,,
1034240,The Far Kingdoms: Awakening Solitaire,,,the-far-kingdoms-awakening-solitaire,,,
1234620,Tinker Racers,,,tinker-racers,,,
955380,Death Collector,,,death-collector,,,
1299690,Gori: Cuddly Carnage,,,gori-cuddly-carnage,,17205,
1151630,House of 1000 Doors: Family Secrets,,,house-of-1000-doors-family-secrets--1,,,
1024701,DCS: P-51D Mustang Blue Nosed Bastards of Bodney Campaign,,,dcs-world-p-51d-mustang-blue-nosed-bastards-of-bodney-campaign,,,
1351980,2945VR,,,2945vr,,,
1255050,Craft In Abyss,,,craft-in-abyss,,,
1316050,Rainy City: Pandemic,,,rainy-city-pandemic,,,
1253720,Blue Fox,,,blue-fox,,,
1052550,Global Soccer: A Management Game 2019,,,global-soccer-manager-2019,,,
1138280,Workhard,,,workhard,,,
1150460,Summer Paws,,,summer-paws,,11609,Q63966
1079050,Laser Paddles,,,laser-paddles,,,
994930,Soccer Manager 2019,,,soccer-manager-2019,,,
1351820,Shivering Hearts,,,shivering-hearts,,,
997180,be you,,,be-you,,,
1128800,Hypnolab VR,,,hypnolab-vr,,,
1281380,INVASION,,,invasion--7,,,
1146120,DeepSea,,,deepsea,,,
1108640,OMNIMUS,Teen,,omnimus,,15278,
1330790,Hunting Unlimited 2,,,hunting-unlimited-2,,,
1142130,They Can't Stop All Of Us,,,they-cant-stop-all-of-us,,,
1145220,Xtreme Typing,,,xtreme-typing,,,
1371380,Space Soldier,,,space-soldier,,,
963980,STARBOY,,,starboy,,,
1261280,No Exit : Torments of Hell,,,no-exit,,,
1059280,The Renovator,,,the-renovator,,,
1331200,Backfire,,,backfire--4,,,GameMaker
1324030,Alien Cat 2,,,alien-cat-2,,,
991760,Summer Sports Games,Everyone,,summer-sports-games,,,
1134390,Voidlifted,,,voidlifted,,,
1114960,Corridor Crusaders,,,corridor-crusaders,,,
1219890,The Last Turret,,,the-last-turret,,,
1197820,Craftlands Workshoppe,,,craftlands-workshoppe,,,
1206510,The inside of a drawer,,,the-inside-of-a-drawer,,,
1087050,Mondrian - Plastic Reality,,,mondrian-plastic-reality,,,Multimedia Fusion
1037930,Era of Miracles,,,era-of-miracles,,,
1157250,Anomaly Zone,,,anomaly-zone,,,
964570,DCL - The Game,,,dcl-the-game,,,
963370,PRiCERPG,,,pricerpg,,,
1361150,Day Island,,,day-island,,,
1327820,The Lost Art of Innkeeping,,,the-lost-art-of-innkeeping,,,
988650,Inclement,,,inclement,,,
1280730,Lovely Goddess,,,lovely-goddess,,,
1016740,God Monster,,,god-monster,,,
1012490,Time to Fight,,,time-to-fight,,,
1293990,Nullum,,,nullum,,,
1366750,Alien Cat 5,,,alien-cat-5,,,
1090190,Winds of Change - The Opening Act,,,winds-of-change-the-opening-act,,,
1256190,Chickduck & Catduck,,,chickduck-and-catduck,,,
978710,Dinosaurus Life VR,,,dinosaurus-life-vr,,,
