appid,name,developer,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,release_date,required_age,is_free,short_description,supported_languages,platforms_windows,platforms_mac,platforms_linux,metacritic_score,recommendations,achievements,genres,categories
1040550,Spring Falls,SPARSE//GameDev,SPARSE//GameDev,915,28,"20,000 .. 50,000",0,0,0,0,699,699,0,2,"Nov 17, 2019",0,False,"Spring Falls is a puzzle game about water, erosion, and watching things grow. Manipulate the landscape and bring wildflowers to life on a peaceful mountainside.","English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Portugal, Simplified Chinese",True,True,True,,987.0,12.0,"Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing"
2185770,Aonatsu Line,"GIGA, Entergram",HIKARI FIELD,913,61,"20,000 .. 50,000",0,0,0,0,3499,3499,0,4,"Dec 2, 2022",0,False,《青夏轨迹》是日本美少女游戏资深大厂GIGA/Entergram出品的一部青春题材的视觉小说。本作由知名插画家U35负责原画与角色设计，人气声优小鸟居夕花、夏和小、和实羽优希为本作女主角献声。本作发售后赢得市场普遍赞誉，并荣获萌系游戏大赏年度剧本金奖等诸多奖项。,"Simplified Chinese, Traditional Chinese",True,False,False,,640.0,25.0,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing"
1026420,WARSAW RISING: City of Heroes,"Pixelated Milk, Retrovibe Games",Instytut Pamięci Narodowej,864,461,"20,000 .. 50,000",0,0,0,0,0,0,0,1,"Oct 2, 2019",0,True,WARSAW RISING: City of Heroes is a challenging turn-based tactical RPG set in an occupied capital during WWII. Pick your heroes. Navigate historic streets. Confront occupiers. And try to survive the 63 days of hell in this historically accurate portrayal of Poles fighting for their city.,"English, French, German, Polish<strong>*</strong>, Russian<br><strong>*</strong>languages with full audio support",True,False,False,,543.0,42.0,"Indie, RPG, Free To Play","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Family Sharing"
1610470,MXGP 2021 - The Official Motocross Videogame,Milestone S.r.l.,Milestone S.r.l.,835,167,"20,000 .. 50,000",0,0,0,0,3999,3999,0,79,"Nov 30, 2021",0,False,"All the power of Motocross in your hands: the new MXGP 2021 is finally here! The official MXGP videogame is ready to show you what it's made of: warm up your engines and get ready for the most realistic, exciting two-wheeled experience ever!","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Portuguese - Brazil<strong>*</strong><br><strong>*</strong>languages with full audio support",True,False,False,,1159.0,50.0,"Racing, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing"
862570,Ding Dong XL,Adamvision Studios,Adamvision Studios,833,25,"20,000 .. 50,000",0,0,0,0,99,99,0,4,"Jun 15, 2018",0,False,"A fast-paced, neon-infused arcade game with simple one-button controls! Addictive, easy to learn, and perfect for quick sessions. Challenge yourself to beat your high score while waiting in queue for another game!","English, French, Italian, German, Spanish - Spain, Portuguese - Portugal, Russian, Simplified Chinese, Japanese, Korean, Portuguese - Brazil",True,True,True,,846.0,32.0,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing"
1995890,Aerofly FS 4 Flight Simulator,IPACS,IPACS,817,110,"20,000 .. 50,000",0,0,0,0,5999,5999,0,29,"Jul 4, 2022",0,False,"We promise you will feel like a pilot flying airliners, helicopters, fighters, gliders, historical and aerobatic aircraft in a photorealistic world! Over 10,000 real world flights, highly detailed cockpits and scenery are awaiting you.","English, German",True,True,True,,1356.0,0.0,"Action, Indie, Racing, Simulation","Single-player, Tracked Controller Support, VR Supported, Gamepad Recommended, DualSense Controller Support, DualSense Controller Support, Partial Controller Support, Family Sharing"
1608700,Soundfall,Drastic Games,Noodlecake,815,270,"20,000 .. 50,000",0,0,0,0,2999,2999,0,3,"May 11, 2022",0,False,"Soundfall is a dungeon crawler that combines looter-shooter action with rhythm-based gameplay. Venture out solo or with up to 4 friends locally or online. Collect loot and time your actions to the beat to become all powerful. Play the Campaign Mode, Free Play 100's of songs or import your own music!","English<strong>*</strong>, French, Italian, German, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America<br><strong>*</strong>languages with full audio support",True,False,False,,991.0,45.0,"Action, Adventure","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Family Sharing"
1366950,Driver4VR,Frankly Dog,Frankly Dog,714,441,"20,000 .. 50,000",0,0,0,0,1799,1799,0,6,"Jun 7, 2021",0,False,"Driver4VR is a versatile virtual reality solution that provides many useful VR features. You can use it for body tracking, head &amp; hand tracking, controller emulation, utilities, and alternative VR configurations.",English,True,False,False,,1023.0,5.0,"Utilities, Early Access",
2754690,I've Fallen For You!,LOVE MOOD STUDIO LIMITED,LOVE MOOD STUDIO LIMITED,646,71,"20,000 .. 50,000",0,0,0,0,799,799,0,2,"Oct 15, 2024",0,False,"Eight women simultaneously appear in your life, offering you unconditional love and support! Will you choose to uphold your beliefs and become a good man, or give in to human temptations and become a bad man?","Simplified Chinese<strong>*</strong>, English, Traditional Chinese<strong>*</strong><br><strong>*</strong>languages with full audio support",True,True,False,,729.0,91.0,"RPG, Simulation","Single-player, Steam Achievements, Captions available, Steam Cloud, Family Sharing"
1837750,Demeo: PC Edition,Resolution Games,Resolution Games,643,126,"20,000 .. 50,000",0,0,0,0,0,0,0,12,"Dec 15, 2022",0,False,"It’s dangerous to go alone! Grab your friends and assemble a party, because plumbing the depths of Demeo requires strategy, cunning, and teamwork. An award-winning cooperative tabletop adventure for up to four players.","English<strong>*</strong>, French, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support",True,False,False,80.0,595.0,38.0,"Adventure, Indie, RPG, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, DualSense Controller Support, Family Sharing"
